year,county,precinct_id,source_name
2014,COLUMBIA,135,Christ Church
2014,COLUMBIA,15,Lewis Methodist Church
2014,COLUMBIA,21,Harlem Baptist Church
2014,COLUMBIA,31,Grovetown Methodist Church
2014,COLUMBIA,76,Marvin Methodist Church
2014,DEKALB,CF,CANDLER-MURPHEY CANDLER ELEM
2014,DEKALB,CI,CLAIREMONT WEST
2014,DEKALB,CT,COVINGTON HWY LIBRARY
2014,DEKALB,CV,CLAIREMONT EAST
2014,DEKALB,EA,EAST LAKE ELEM
2014,DEKALB,GD,GEORGETOWN SQUARE
2014,DEKALB,MA,MILLER-ELDRIDGE L. MILLER ELEM
2014,DEKALB,MG,MEDLOCK ELEM
2014,DEKALB,MQ,MT. VERNON EAST
2014,DEKALB,MR,MATHIS-BOB MATHIS ELEM
2014,DEKALB,MS,MT. VERNON WEST
2014,DEKALB,MU,MONTGOMERY ELEM
2014,DEKALB,SC,SHAW-ROBERT SHAW ELEM
2014,DEKALB,SH,SMOKE RISE ELEM
2014,DEKALB,SI,STONE MOUNTAIN MIDDLE
2014,DEKALB,SQ,STONE MOUNTAIN LIBRARY
2014,DEKALB,SR,SNAPFINGER ROAD NORTH
2014,DEKALB,SS,SNAPFINGER ROAD SOUTH
2014,DEKALB,TA,TERRY MILL ELEM
2014,LEE,3,CJC
2014,MORGAN,2,East Morgan
2014,MORGAN,6,West Morgan
2014,SPALDING,1,SECOND BAPTISH CH
2014,SPALDING,10,CARVER
2014,SPALDING,11,FIRST PRESBYTERIA
2014,SPALDING,12,LIBERTY
2014,SPALDING,13,COUNTY LINE
2014,SPALDING,14,SUNNYSIDE METHODI
2014,SPALDING,16,GARY REID
2014,SPALDING,17,AMBUCS
2014,SPALDING,19,FIRST ASSEMBLY
2014,SPALDING,2,FAIRMONT
2014,SPALDING,20,ROBERTS
2014,SPALDING,5,GA EXP STATION
2014,SPALDING,6,CITY PARK
2014,SPALDING,7,FIRST METHODIST
2014,WARE,404,Beach-Bickley
2014,WARE,405,Haywood
2014,WARE,406,Jamestown
2014,WARE,407,Manor
2014,WARE,408,Millwood
2014,WARE,409,Waresboro
2016,COLUMBIA,015,Lewis Methodist Church
2016,COLUMBIA,031,Grovetown Methodist Church
2016,COLUMBIA,076,Marvin Methodist Church
2016,COLUMBIA,135,Christ Church
2016,DEKALB,CL,CLIFTON ELEM
2016,DEKALB,CT,COVINGTON HWY LIBRARY
2016,DEKALB,EA,EAST LAKE ELEM
2016,DEKALB,GD,GEORGETOWN SQUARE
2016,DEKALB,KE,KNOLLWOOD ELEM
2016,DEKALB,MD,MCNAIR MIDDLE
2016,DEKALB,MG,MEDLOCK ELEM
2016,DEKALB,MI,MILLER GROVE MIDDLE
2016,DEKALB,ML,MEADOWVIEW ELEM
2016,DEKALB,MO,MIDWAY ELEM
2016,DEKALB,PA,PEACHCREST ELEM
2016,DEKALB,PF,PLEASANTDALE ELEM
2016,DEKALB,RE,ROCKBRIDGE ELEM
2016,DEKALB,SH,SMOKE RISE ELEM
2016,DEKALB,SI,STONE MOUNTAIN MIDDLE
2016,DEKALB,SQ,STONE MOUNTAIN LIBRARY
2016,DEKALB,SR,SNAPFINGER ROAD NORTH
2016,DEKALB,SS,SNAPFINGER ROAD SOUTH
2016,DEKALB,TA,TERRY MILL ELEM
2016,DEKALB,WJ,WOODWARD ELEM
2016,LEE,3,CJC
2016,MORGAN,02,East Morgan
2016,MORGAN,06,West Morgan
2016,SPALDING,01,SECOND BAPTISH CH
2016,SPALDING,02,FAIRMONT
2016,SPALDING,03,SENIOR CENTER
2016,SPALDING,05,UGA CAMPUS
2016,SPALDING,06,CITY PARK
2016,SPALDING,07,FIRST METHODIST
2016,SPALDING,10,CARVER
2016,SPALDING,11,FIRST PRESBYTERIA
2016,SPALDING,12,LIBERTY
2016,SPALDING,13,COUNTY LINE
2016,SPALDING,14,SUNNYSIDE METHODI
